Error No. (DEC),Error No. (HEX),Description
2147953418,0x80072B0A,Invalid QOS provider-specific buffer.
2147953419,0x80072B0B,An invalid QOS filter style was used.
2147953420,0x80072B0C,An invalid QOS filter type was used.
2147953421,0x80072B0D,An incorrect number of QOS FILTERSPECs were specified in the FLOWDESCRIPTOR.
2147953422,0x80072B0E,An object with an invalid ObjectLength field was specified in the QOS provider-specific buffer.
2147953423,0x80072B0F,An incorrect number of flow descriptors was specified in the QOS structure.
2147953424,0x80072B10,An unrecognized object was found in the QOS provider-specific buffer.
2147953425,0x80072B11,An invalid policy object was found in the QOS provider-specific buffer.
2147953426,0x80072B12,An invalid QOS flow descriptor was found in the flow descriptor list.
2147953427,0x80072B13,An invalid or inconsistent flowspec was found in the QOS provider specific buffer.
2147953428,0x80072B14,An invalid FILTERSPEC was found in the QOS provider-specific buffer.
2147953429,0x80072B15,An invalid shape discard mode object was found in the QOS provider specific buffer.
2147953430,0x80072B16,An invalid shaping rate object was found in the QOS provider-specific buffer.
2147953431,0x80072B17,A reserved policy element was found in the QOS provider-specific buffer.
2147955400,0x800732C8,The specified quick mode policy already exists.
2147955401,0x800732C9,The specified quick mode policy was not found.
2147955402,0x800732CA,The specified quick mode policy is being used.
2147955403,0x800732CB,The specified main mode policy already exists.
2147955404,0x800732CC,The specified main mode policy was not found
2147955405,0x800732CD,The specified main mode policy is being used.
2147955406,0x800732CE,The specified main mode filter already exists.
2147955407,0x800732CF,The specified main mode filter was not found.
2147955408,0x800732D0,The specified transport mode filter already exists.
2147955409,0x800732D1,The specified transport mode filter does not exist.
2147955410,0x800732D2,The specified main mode authentication list exists.
2147955411,0x800732D3,The specified main mode authentication list was not found.
2147955412,0x800732D4,The specified quick mode policy is being used.
2147955413,0x800732D5,The specified main mode policy was not found.
2147955414,0x800732D6,The specified quick mode policy was not found
2147955415,0x800732D7,The manifest file contains one or more syntax errors.
2147955416,0x800732D8,The application attempted to activate a disabled activation context.
2147955417,0x800732D9,The requested lookup key was not found in any active activation context.
2147955418,0x800732DA,The Main Mode filter is pending deletion.
2147955419,0x800732DB,The transport filter is pending deletion.
2147955420,0x800732DC,The tunnel filter is pending deletion.
2147955421,0x800732DD,The Main Mode policy is pending deletion.
2147955422,0x800732DE,The Main Mode authentication bundle is pending deletion.
2147955423,0x800732DF,The Quick Mode policy is pending deletion.
2147956200,0x800735E8,ERROR_IPSEC_IKE_NEG_STATUS_BEGIN
2147956201,0x800735E9,IKE authentication credentials are unacceptable
2147956202,0x800735EA,IKE security attributes are unacceptable
2147956203,0x800735EB,IKE Negotiation in progress
2147956204,0x800735EC,General processing error
2147956205,0x800735ED,Negotiation timed out
2147956206,0x800735EE,IKE failed to find valid machine certificate
2147956207,0x800735EF,IKE SA deleted by peer before establishment completed
2147956208,0x800735F0,IKE SA deleted before establishment completed
2147956209,0x800735F1,Negotiation request sat in Queue too long
2147956210,0x800735F2,Negotiation request sat in Queue too long
2147956211,0x800735F3,Negotiation request sat in Queue too long
2147956212,0x800735F4,Negotiation request sat in Queue too long
2147956213,0x800735F5,No response from peer
2147956214,0x800735F6,Negotiation took too long
2147956215,0x800735F7,Negotiation took too long
2147956216,0x800735F8,Unknown error occurred
2147956217,0x800735F9,Certificate Revocation Check failed
2147956218,0x800735FA,Invalid certificate key usage
2147956219,0x800735FB,Invalid certificate type
2147956220,0x800735FC,No private key associated with machine certificate
2147956222,0x800735FE,Failure in Diffie-Helman computation
2147956224,0x80073600,Invalid header
2147956225,0x80073601,No policy configured
2147956226,0x80073602,Failed to verify signature
2147956227,0x80073603,Failed to authenticate using kerberos
2147956228,0x80073604,Peer's certificate did not have a public key
2147956229,0x80073605,Error processing error payload
2147956230,0x80073606,Error processing SA payload
2147956231,0x80073607,Error processing Proposal payload
2147956232,0x80073608,Error processing Transform payload
2147956233,0x80073609,Error processing KE payload
2147956234,0x8007360A,Error processing ID payload
2147956235,0x8007360B,Error processing Cert payload
2147956236,0x8007360C,Error processing Certificate Request payload
2147956237,0x8007360D,Error processing Hash payload
2147956238,0x8007360E,Error processing Signature payload
2147956239,0x8007360F,Error processing Nonce payload
2147956240,0x80073610,Error processing Notify payload
2147956241,0x80073611,Error processing Delete Payload
2147956242,0x80073612,Error processing VendorId payload
2147956243,0x80073613,Invalid payload received
2147956244,0x80073614,Soft SA loaded
2147956245,0x80073615,Soft SA torn down
2147956246,0x80073616,Invalid cookie received.
2147956247,0x80073617,Peer failed to send valid machine certificate
2147956248,0x80073618,Certification Revocation check of peer's certificate failed
2147956249,0x80073619,New policy invalidated SAs formed with old policy
2147956250,0x8007361A,There is no available Main Mode IKE policy.
2147956251,0x8007361B,Failed to enabled TCB privilege.
2147956252,0x8007361C,Failed to load SECURITY.DLL.
2147956253,0x8007361D,Failed to obtain security function table dispatch address from SSPI.
2147956254,0x8007361E,Failed to query Kerberos package to obtain max token size.
2147956255,0x8007361F,Failed to obtain Kerberos server credentials for ISAKMP/ERROR_IPSEC_IKE service.  Kerberos authentication will not function.  The most likely reason for this is lack of domain membership.  This is normal if your computer is a member of a workgroup.
2147956256,0x80073620,Failed to determine SSPI principal name for ISAKMP/ERROR_IPSEC_IKE service (QueryCredentialsAttributes).
2147956257,0x80073621,Failed to obtain new SPI for the inbound SA from Ipsec driver.  The most common cause for this is that the driver does not have the correct filter.  Check your policy to verify the filters.
2147956258,0x80073622,Given filter is invalid
2147956259,0x80073623,Memory allocation failed.
2147956260,0x80073624,"Failed to add Security Association to IPSec Driver.  The most common cause for this is if the IKE negotiation took too long to complete.  If the problem persists, reduce the load on the faulting machine."
2147956261,0x80073625,Invalid policy
2147956262,0x80073626,Invalid DOI
2147956263,0x80073627,Invalid situation
2147956264,0x80073628,Diffie-Hellman failure
2147956265,0x80073629,Invalid Diffie-Hellman group
2147956266,0x8007362A,Error encrypting payload
2147956267,0x8007362B,Error decrypting payload
2147956268,0x8007362C,Policy match error
2147956269,0x8007362D,Unsupported ID
2147956270,0x8007362E,Hash verification failed
2147956271,0x8007362F,Invalid hash algorithm
2147956272,0x80073630,Invalid hash size
2147956273,0x80073631,Invalid encryption algorithm
2147956274,0x80073632,Invalid authentication algorithm
2147956275,0x80073633,Invalid certificate signature
2147956276,0x80073634,Load failed
2147956277,0x80073635,Deleted via RPC call
2147956278,0x80073636,Temporary state created to perform reinit. This is not a real failure.
2147956279,0x80073637,The lifetime value received in the Responder Lifetime Notify is below the Windows 2000 configured minimum value.  Please fix the policy on the peer machine.
2147956281,0x80073639,Key length in certificate is too small for configured security requirements.
2147956282,0x8007363A,Max number of established MM SAs to peer exceeded.
2147956283,0x8007363B,IKE received a policy that disables negotiation.
2147956284,0x8007363C,ERROR_IPSEC_IKE_NEG_STATUS_END
2147956400,0x800736B0,The requested section was not present in the activation context.
2147956401,0x800736B1,This application has failed to start because the application configuration is incorrect. Reinstalling the application may fix this problem.
2147956402,0x800736B2,The application binding data format is invalid.
2147956403,0x800736B3,The referenced assembly is not installed on your system.
2147956404,0x800736B4,The manifest file does not begin with the required tag and format information.
2147956405,0x800736B5,The manifest file contains one or more syntax errors.
2147956406,0x800736B6,The application attempted to activate a disabled activation context.
2147956407,0x800736B7,The requested lookup key was not found in any active activation context.
2147956408,0x800736B8,A component version required by the application conflicts with another component version already active.
2147956409,0x800736B9,The type requested activation context section does not match the query API used.
2147956410,0x800736BA,Lack of system resources has required isolated activation to be disabled for the current thread of execution.
2147956411,0x800736BB,An attempt to set the process default activation context failed because the process default activation context was already set.
2147956412,0x800736BC,The encoding group identifier specified is not recognized.
2147956413,0x800736BD,The encoding requested is not recognized.
2147956414,0x800736BE,The manifest contains a reference to an invalid URI.
2147956415,0x800736BF,The application manifest contains a reference to a dependent assembly which is not installed
2147956416,0x800736C0,The manifest for an assembly used by the application has a reference to a dependent assembly which is not installed
2147956417,0x800736C1,The manifest contains an attribute for the assembly identity which is not valid.
2147956418,0x800736C2,The manifest is missing the required default namespace specification on the assembly element.
2147956419,0x800736C3,"The manifest has a default namespace specified on the assembly element but its value is not ""urn:schemas-microsoft-com:asm.v1""."
2147956420,0x800736C4,The private manifest probed has crossed reparse-point-associated path
2147956421,0x800736C5,Two or more components referenced directly or indirectly by the application manifest have files by the same name.
2147956422,0x800736C6,Two or more components referenced directly or indirectly by the application manifest have window classes with the same name.
2147956423,0x800736C7,Two or more components referenced directly or indirectly by the application manifest have the same COM server CLSIDs.
2147956424,0x800736C8,Two or more components referenced directly or indirectly by the application manifest have proxies for the same COM interface IIDs.
2147956425,0x800736C9,Two or more components referenced directly or indirectly by the application manifest have the same COM type library TLBIDs.
2147956426,0x800736CA,Two or more components referenced directly or indirectly by the application manifest have the same COM ProgIDs.
2147956427,0x800736CB,Two or more components referenced directly or indirectly by the application manifest are different versions of the same component which is not permitted.
2147956428,0x800736CC,"A component's file does not match the verification information present in the
component manifest."
2147956429,0x800736CD,The policy manifest contains one or more syntax errors.
2147956430,0x800736CE,"Manifest Parse Error : A string literal was expected, but no opening quote character was found."
2147956431,0x800736CF,Manifest Parse Error : Incorrect syntax was used in a comment.
2147956432,0x800736D0,Manifest Parse Error : A name was started with an invalid character.
2147956433,0x800736D1,Manifest Parse Error : A name contained an invalid character.
2147956434,0x800736D2,Manifest Parse Error : A string literal contained an invalid character.
2147956435,0x800736D3,Manifest Parse Error : Invalid syntax for an xml declaration.
2147956436,0x800736D4,Manifest Parse Error : An Invalid character was found in text content.
2147956437,0x800736D5,Manifest Parse Error : Required white space was missing.
2147956438,0x800736D6,Manifest Parse Error : The character '>' was expected.
2147956439,0x800736D7,Manifest Parse Error : A semi colon character was expected.
2147956440,0x800736D8,Manifest Parse Error : Unbalanced parentheses.
2147956441,0x800736D9,Manifest Parse Error : Internal error.
2147956442,0x800736DA,Manifest Parse Error : Whitespace is not allowed at this location.
2147956443,0x800736DB,Manifest Parse Error : End of file reached in invalid state for current encoding.
2147956444,0x800736DC,Manifest Parse Error : Missing parenthesis.
2147956445,0x800736DD,"Manifest Parse Error : A single or double closing quote character (\' or \"") is missing."
2147956446,0x800736DE,Manifest Parse Error : Multiple colons are not allowed in a name.
2147956447,0x800736DF,Manifest Parse Error : Invalid character for decimal digit.
2147956448,0x800736E0,Manifest Parse Error : Invalid character for hexidecimal digit.
2147956449,0x800736E1,Manifest Parse Error : Invalid unicode character value for this platform.
2147956450,0x800736E2,Manifest Parse Error : Expecting whitespace or '?'.
2147956451,0x800736E3,Manifest Parse Error : End tag was not expected at this location.
2147956452,0x800736E4,Manifest Parse Error : The following tags were not closed: %1.
2147956453,0x800736E5,Manifest Parse Error : Duplicate attribute.
2147956454,0x800736E6,Manifest Parse Error : Only one top level element is allowed in an XML document.
2147956455,0x800736E7,Manifest Parse Error : Invalid at the top level of the document.
2147956456,0x800736E8,Manifest Parse Error : Invalid xml declaration.
2147956457,0x800736E9,Manifest Parse Error : XML document must have a top level element.
2147956458,0x800736EA,Manifest Parse Error : Unexpected end of file.
2147956459,0x800736EB,Manifest Parse Error : Parameter entities cannot be used inside markup declarations in an internal subset.
2147956460,0x800736EC,Manifest Parse Error : Element was not closed.
2147956461,0x800736ED,Manifest Parse Error : End element was missing the character '>'.
2147956462,0x800736EE,Manifest Parse Error : A string literal was not closed.
2147956463,0x800736EF,Manifest Parse Error : A comment was not closed.
2147956464,0x800736F0,Manifest Parse Error : A declaration was not closed.
2147956465,0x800736F1,Manifest Parse Error : A CDATA section was not closed.
2147956466,0x800736F2,"Manifest Parse Error : The namespace prefix is not allowed to start with the reserved string ""xml""."
2147956467,0x800736F3,Manifest Parse Error : System does not support the specified encoding.
2147956468,0x800736F4,Manifest Parse Error : Switch from current encoding to specified encoding not supported.
2147956469,0x800736F5,Manifest Parse Error : The name 'xml' is reserved and must be lower case.
2147956470,0x800736F6,Manifest Parse Error : The standalone attribute must have the value 'yes' or 'no'.
2147956471,0x800736F7,Manifest Parse Error : The standalone attribute cannot be used in external entities.
2147956472,0x800736F8,Manifest Parse Error : Invalid version number.
2147956473,0x800736F9,Manifest Parse Error : Missing equals sign between attribute and attribute value.
2147956474,0x800736FA,Assembly Protection Error : Unable to recover the specified assembly.
2147956475,0x800736FB,Assembly Protection Error : The public key for an assembly was too short to be allowed.
2147956476,0x800736FC,"Assembly Protection Error : The catalog for an assembly is not valid, or does not match the assembly's manifest."
2147956477,0x800736FD,An HRESULT could not be translated to a corresponding Win32 error code.
2147956478,0x800736FE,Assembly Protection Error : The catalog for an assembly is missing.
2147956479,0x800736FF,The supplied assembly identity is missing one or more attributes which must be present in this context.
2147956480,0x80073700,The supplied assembly identity has one or more attribute names that contain characters not permitted in XML names.
2148007937,0x80080001,Attempt to create a class object failed
2148007938,0x80080002,OLE service could not bind object
2148007939,0x80080003,RPC communication failed with OLE service
2148007940,0x80080004,Bad path to object
2148007941,0x80080005,Server execution failed
2148007942,0x80080006,OLE service could not communicate with the object server
2148007943,0x80080007,Moniker path could not be normalized
2148007944,0x80080008,Object server is stopping when OLE service contacts it
2148007945,0x80080009,An invalid root block pointer was specified
2148007952,0x80080010,An allocation chain contained an invalid link pointer
2148007953,0x80080011,The requested allocation size was too large
2148073473,0x80090001,Bad UID.
2148073474,0x80090002,Bad Hash.
2148073475,0x80090003,Bad Key.
2148073476,0x80090004,Bad Length.
2148073477,0x80090005,Bad Data.
2148073478,0x80090006,Invalid Signature.
2148073479,0x80090007,Bad Version of provider.
2148073480,0x80090008,Invalid algorithm specified.
2148073481,0x80090009,Invalid flags specified.
2148073482,0x8009000A,Invalid type specified.
2148073483,0x8009000B,Key not valid for use in specified state.
2148073484,0x8009000C,Hash not valid for use in specified state.
2148073485,0x8009000D,Key does not exist.
2148073486,0x8009000E,Insufficient memory available for the operation.
2148073487,0x8009000F,Object already exists.
2148073488,0x80090010,Access denied.
2148073489,0x80090011,Object was not found.
2148073490,0x80090012,Data already encrypted.
2148073491,0x80090013,Invalid provider specified.
2148073492,0x80090014,Invalid provider type specified.
2148073493,0x80090015,Provider's public key is invalid.
2148073494,0x80090016,Keyset does not exist
2148073495,0x80090017,Provider type not defined.
2148073496,0x80090018,Provider type as registered is invalid.
2148073497,0x80090019,The keyset is not defined.
2148073498,0x8009001A,Keyset as registered is invalid.
2148073499,0x8009001B,Provider type does not match registered value.
2148073500,0x8009001C,The digital signature file is corrupt.
2148073501,0x8009001D,Provider DLL failed to initialize correctly.
2148073502,0x8009001E,Provider DLL could not be found.
2148073503,0x8009001F,The Keyset parameter is invalid.
2148073504,0x80090020,An internal error occurred.
2148073505,0x80090021,A base error occurred.
2148073506,0x80090022,Provider could not perform the action since the context was acquired as silent.
2148073507,0x80090023,The security token does not have storage space available for an additional container.
2148073508,0x80090024,The profile for the user is a temporary profile.
2148073509,0x80090025,The key parameters could not be set because the CSP uses fixed parameters.
2148074240,0x80090300,Not enough memory is available to complete this request
2148074241,0x80090301,The handle specified is invalid
2148074242,0x80090302,The function requested is not supported
2148074243,0x80090303,The specified target is unknown or unreachable
2148074244,0x80090304,The Local Security Authority cannot be contacted
2148074245,0x80090305,The requested security package does not exist
2148074246,0x80090306,The caller is not the owner of the desired credentials
2148074247,0x80090307,"The security package failed to initialize, and cannot be installed"
2148074248,0x80090308,The token supplied to the function is invalid
2148074249,0x80090309,"The security package is not able to marshall the logon buffer, so the logon attempt has failed"
2148074250,0x8009030A,The per-message Quality of Protection is not supported by the security package
2148074251,0x8009030B,The security context does not allow impersonation of the client
2148074252,0x8009030C,The logon attempt failed
2148074253,0x8009030D,The credentials supplied to the package were not recognized
2148074254,0x8009030E,No credentials are available in the security package
2148074255,0x8009030F,The message or signature supplied for verification has been altered
2148074256,0x80090310,The message supplied for verification is out of sequence
2148074257,0x80090311,No authority could be contacted for authentication.
2148074262,0x80090316,The requested security package does not exist
2148074263,0x80090317,The context has expired and can no longer be used.
2148074264,0x80090318,The supplied message is incomplete.  The signature was not verified.
2148074272,0x80090320,"The credentials supplied were not complete, and could not be verified. The context could not be initialized."
2148074273,0x80090321,The buffers supplied to a function was too small.
2148074274,0x80090322,The target principal name is incorrect.
2148074276,0x80090324,The clocks on the client and server machines are skewed.
2148074277,0x80090325,The certificate chain was issued by an authority that is not trusted.
2148074278,0x80090326,The message received was unexpected or badly formatted.
2148074279,0x80090327,An unknown error occurred while processing the certificate.
2148074280,0x80090328,The received certificate has expired.
2148074281,0x80090329,The specified data could not be encrypted.
2148074288,0x80090330,The specified data could not be decrypted.
2148074289,0x80090331,"The client and server cannot communicate, because they do not possess a common algorithm."
2148074290,0x80090332,The security context could not be established due to a failure in the requested quality of service (e.g. mutual authentication or delegation).
2148074291,0x80090333,A security context was deleted before the context was completed.  This is considered a logon failure.
2148074292,0x80090334,The client is trying to negotiate a context and the server requires user-to-user but didn't send a TGT reply.
2148074293,0x80090335,Unable to accomplish the requested task because the local machine does not have any IP addresses.
2148074294,0x80090336,The supplied credential handle does not match the credential associated with the security context.
2148074295,0x80090337,The crypto system or checksum function is invalid because a required function is unavailable.
2148074296,0x80090338,The number of maximum ticket referrals has been exceeded.
2148074297,0x80090339,The local machine must be a Kerberos KDC (domain controller) and it is not.
2148074298,0x8009033A,The other end of the security negotiation is requires strong crypto but it is not supported on the local machine.
2148074299,0x8009033B,The KDC reply contained more than one principal name.
2148074300,0x8009033C,"Expected to find PA data for a hint of what etype to use, but it was not found."
2148074301,0x8009033D,The client cert name does not matches the user name or the KDC name is incorrect.
2148074302,0x8009033E,Smartcard logon is required and was not used.
2148074303,0x8009033F,A system shutdown is in progress.
2148074304,0x80090340,An invalid request was sent to the KDC.
2148074305,0x80090341,The KDC was unable to generate a referral for the service requested.
2148074306,0x80090342,The encryption type requested is not supported by the KDC.
2148074307,0x80090343,An unsupported preauthentication mechanism was presented to the kerberos package.
2148074309,0x80090345,The requested operation requires delegation to be enabled on the machine.
2148074310,0x80090346,Client's supplied SSPI channel bindings were incorrect.
2148074311,0x80090347,The received certificate was mapped to multiple accounts.
2148074312,0x80090348,SEC_E_NO_KERB_KEY
2148074313,0x80090349,
2148074320,0x80090350,
2148074321,0x80090351,
2148074322,0x80090352,
2148074323,0x80090353,
2148074324,0x80090354,
2148074325,0x80090355,
2148074326,0x80090356,
2148074327,0x80090357,
2148077569,0x80091001,An error occurred while performing an operation on a cryptographic message.
2148077570,0x80091002,Unknown cryptographic algorithm.
2148077571,0x80091003,The object identifier is poorly formatted.
2148077572,0x80091004,Invalid cryptographic message type.
2148077573,0x80091005,Unexpected cryptographic message encoding.
2148077574,0x80091006,The cryptographic message does not contain an expected authenticated attribute.
2148077575,0x80091007,The hash value is not correct.
2148077576,0x80091008,The index value is not valid.
2148077577,0x80091009,The content of the cryptographic message has already been decrypted.
2148077578,0x8009100A,The content of the cryptographic message has not been decrypted yet.
2148077579,0x8009100B,The enveloped-data message does not contain the specified recipient.
2148077580,0x8009100C,Invalid control type.
2148077581,0x8009100D,Invalid issuer and/or serial number.
2148077582,0x8009100E,Cannot find the original signer.
2148077583,0x8009100F,The cryptographic message does not contain all of the requested attributes.
2148077584,0x80091010,The streamed cryptographic message is not ready to return data.
2148077585,0x80091011,The streamed cryptographic message requires more data to complete the decode operation.
2148081665,0x80092001,The length specified for the output data was insufficient.
2148081666,0x80092002,An error occurred during encode or decode operation.
2148081667,0x80092003,An error occurred while reading or writing to a file.
2148081668,0x80092004,Cannot find object or property.
2148081669,0x80092005,The object or property already exists.
2148081670,0x80092006,No provider was specified for the store or object.
2148081671,0x80092007,The specified certificate is self signed.
2148081672,0x80092008,The previous certificate or CRL context was deleted.
2148081673,0x80092009,Cannot find the requested object.
2148081674,0x8009200A,The certificate does not have a property that references a private key.
2148081675,0x8009200B,Cannot find the certificate and private key for decryption.
2148081676,0x8009200C,Cannot find the certificate and private key to use for decryption.
2148081677,0x8009200D,Not a cryptographic message or the cryptographic message is not formatted correctly.
2148081678,0x8009200E,The signed cryptographic message does not have a signer for the specified signer index.
2148081679,0x8009200F,Final closure is pending until additional frees or closes.
2148081680,0x80092010,The certificate is revoked.
2148081681,0x80092011,No Dll or exported function was found to verify revocation.
2148081682,0x80092012,The revocation function was unable to check revocation for the certificate.
2148081683,0x80092013,The revocation function was unable to check revocation because the revocation server was offline.
2148081684,0x80092014,The certificate is not in the revocation server's database.
2148081696,0x80092020,The string contains a non-numeric character.
2148081697,0x80092021,The string contains a non-printable character.
2148081698,0x80092022,The string contains a character not in the 7 bit ASCII character set.
2148081699,0x80092023,"The string contains an invalid X500 name attribute key, oid, value or delimiter."
2148081700,0x80092024,The dwValueType for the CERT_NAME_VALUE is not one of the character strings.  Most likely it is either a CERT_RDN_ENCODED_BLOB or CERT_TDN_OCTED_STRING.
2148081701,0x80092025,"The Put operation can not continue.  The file needs to be resized.  However, there is already a signature present.  A complete signing operation must be done."
2148081702,0x80092026,The cryptographic operation failed due to a local security option setting.
2148081703,0x80092027,No DLL or exported function was found to verify subject usage.
2148081704,0x80092028,The called function was unable to do a usage check on the subject.
2148081705,0x80092029,"Since the server was offline, the called function was unable to complete the usage check."
2148081706,0x8009202A,The subject was not found in a Certificate Trust List (CTL).
2148081707,0x8009202B,None of the signers of the cryptographic message or certificate trust list is trusted.
2148081708,0x8009202C,The public key's algorithm parameters are missing.
2148085760,0x80093000,"OSS Certificate encode/decode error code base

See asn1code.h for a definition of the OSS runtime errors. The OSS
error values are offset by CRYPT_E_OSS_ERROR."
2148085761,0x80093001,OSS ASN.1 Error: Output Buffer is too small.
2148085762,0x80093002,OSS ASN.1 Error: Signed integer is encoded as a unsigned integer.
2148085763,0x80093003,OSS ASN.1 Error: Unknown ASN.1 data type.
2148085764,0x80093004,"OSS ASN.1 Error: Output buffer is too small, the decoded data has been truncated."
2148085765,0x80093005,OSS ASN.1 Error: Invalid data.
2148085766,0x80093006,OSS ASN.1 Error: Invalid argument.
2148085767,0x80093007,OSS ASN.1 Error: Encode/Decode version mismatch.
2148085768,0x80093008,OSS ASN.1 Error: Out of memory.
2148085769,0x80093009,OSS ASN.1 Error: Encode/Decode Error.
2148085770,0x8009300A,OSS ASN.1 Error: Internal Error.
2148085771,0x8009300B,OSS ASN.1 Error: Invalid data.
2148085772,0x8009300C,OSS ASN.1 Error: Invalid data.
2148085773,0x8009300D,OSS ASN.1 Error: Unsupported BER indefinite-length encoding.
2148085774,0x8009300E,OSS ASN.1 Error: Access violation.
2148085775,0x8009300F,OSS ASN.1 Error: Invalid data.
2148085776,0x80093010,OSS ASN.1 Error: Invalid data.
2148085777,0x80093011,OSS ASN.1 Error: Invalid data.
2148085778,0x80093012,OSS ASN.1 Error: Internal Error.
2148085779,0x80093013,OSS ASN.1 Error: Multi-threading conflict.
2148085780,0x80093014,OSS ASN.1 Error: Invalid data.
2148085781,0x80093015,OSS ASN.1 Error: Invalid data.
2148085782,0x80093016,OSS ASN.1 Error: Invalid data.
2148085783,0x80093017,OSS ASN.1 Error: Encode/Decode function not implemented.
2148085784,0x80093018,OSS ASN.1 Error: Trace file error.
2148085785,0x80093019,OSS ASN.1 Error: Function not implemented.
2148085786,0x8009301A,OSS ASN.1 Error: Program link error.
2148085787,0x8009301B,OSS ASN.1 Error: Trace file error.
2148085788,0x8009301C,OSS ASN.1 Error: Trace file error.
2148085789,0x8009301D,OSS ASN.1 Error: Invalid data.
2148085790,0x8009301E,OSS ASN.1 Error: Invalid data.
2148085791,0x8009301F,OSS ASN.1 Error: Program link error.
2148085792,0x80093020,OSS ASN.1 Error: Program link error.
2148085793,0x80093021,OSS ASN.1 Error: Program link error.
2148085794,0x80093022,OSS ASN.1 Error: Program link error.
2148085795,0x80093023,OSS ASN.1 Error: Program link error.
2148085796,0x80093024,OSS ASN.1 Error: Program link error.
2148085797,0x80093025,OSS ASN.1 Error: Program link error.
2148085798,0x80093026,OSS ASN.1 Error: Program link error.
2148085799,0x80093027,OSS ASN.1 Error: Program link error.
2148085800,0x80093028,OSS ASN.1 Error: Program link error.
2148085801,0x80093029,OSS ASN.1 Error: Program link error.
2148085802,0x8009302A,OSS ASN.1 Error: Program link error.
2148085803,0x8009302B,OSS ASN.1 Error: Program link error.
2148085804,0x8009302C,OSS ASN.1 Error: Program link error.
2148085805,0x8009302D,OSS ASN.1 Error: System resource error.
2148085806,0x8009302E,OSS ASN.1 Error: Trace file error.
2148086016,0x80093100,"ASN1 Certificate encode/decode error code base.

The ASN1 error values are offset by CRYPT_E_ASN1_ERROR."
2148086017,0x80093101,ASN1 internal encode or decode error.
2148086018,0x80093102,ASN1 unexpected end of data.
2148086019,0x80093103,ASN1 corrupted data.
2148086020,0x80093104,ASN1 value too large.
2148086021,0x80093105,ASN1 constraint violated.
2148086022,0x80093106,ASN1 out of memory.
2148086023,0x80093107,ASN1 buffer overflow.
2148086024,0x80093108,ASN1 function not supported for this PDU.
2148086025,0x80093109,ASN1 bad arguments to function call.
2148086026,0x8009310A,ASN1 bad real value.
2148086027,0x8009310B,ASN1 bad tag value met.
2148086028,0x8009310C,ASN1 bad choice value.
2148086029,0x8009310D,ASN1 bad encoding rule.
2148086030,0x8009310E,ASN1 bad unicode (UTF8).
2148086067,0x80093133,ASN1 bad PDU type.
2148086068,0x80093134,ASN1 not yet implemented.
2148086273,0x80093201,ASN1 skipped unknown extension(s).
2148086274,0x80093202,ASN1 end of data expected
2148089857,0x80094001,The request subject name is invalid or too long.
2148089858,0x80094002,The request does not exist.
2148089859,0x80094003,The request's current status does not allow this operation.
2148089860,0x80094004,The requested property value is empty.
2148089861,0x80094005,The certification authority's certificate contains invalid data.
2148089862,0x80094006,Certificate service has been suspended for a database restore operation.
2148089863,0x80094007,The certificate contains an encoded length that is potentially incompatible with older enrollment software.
2148089864,0x80094008,The operation is denied. The user has multiple roles assigned and the certification authority is configured to enforce role separation.
2148089865,0x80094009,The operation is denied. It can only be performed by a certificate manager that is allowed to manage certificates for the current requester.
2148089866,0x8009400A,Cannot archive private key.  The certification authority is not configured for key archival.
2148089867,0x8009400B,Cannot archive private key.  The certification authority could not verify one or more key recovery certificates.
2148089868,0x8009400C,The request is incorrectly formatted.  The encrypted private key must be in an unauthenticated attribute in an outermost signature.
2148089869,0x8009400D,At least one security principal must have the permission to manage this CA.
2148089870,0x8009400E,The request contains an invalid renewal certificate attribute.
2148089871,0x8009400F,"An attempt was made to open a Certification Authority database session, but there are already too many active sessions.  The server may need to be configured to allow additional sessions."
2148089872,0x80094010,A memory reference caused a data alignment fault.
2148089873,0x80094011,The permissions on this certification authority do not allow the current user to enroll for certificates.
2148089874,0x80094012,The permissions on the certificate template do not allow the current user to enroll for this type of certificate.
2148089875,0x80094013,
2148091904,0x80094800,The requested certificate template is not supported by this CA.
2148091905,0x80094801,The request contains no certificate template information.
2148091906,0x80094802,The request contains conflicting template information.
2148091907,0x80094803,The request is missing a required Subject Alternate name extension.
2148091908,0x80094804,The request is missing a required private key for archival by the server.
2148091909,0x80094805,The request is missing a required SMIME capabilities extension.
2148091910,0x80094806,The request was made on behalf of a subject other than the caller.  The certificate template must be configured to require at least one signature to authorize the request.
2148091911,0x80094807,The request template version is newer than the supported template version.
2148091912,0x80094808,The template is missing a required signature policy attribute.
2148091913,0x80094809,The request is missing required signature policy information.
2148091914,0x8009480A,The request is missing one or more required signatures.
2148091915,0x8009480B,One or more signatures did not include the required application or issuance policies.  The request is missing one or more required valid signatures.
2148091916,0x8009480C,The request is missing one or more required signature issuance policies.
2148091917,0x8009480D,The UPN is unavailable and cannot be added to the Subject Alternate name.
2148091918,0x8009480E,The Active Directory GUID is unavailable and cannot be added to the Subject Alternate name.
2148091919,0x8009480F,The DNS name is unavailable and cannot be added to the Subject Alternate name.
2148091920,0x80094810,"The request includes a private key for archival by the server, but key archival is not enabled for the specified certificate template."
2148091921,0x80094811,The public key does not meet the minimum size required by the specified certificate template.
2148091922,0x80094812,
2148091923,0x80094813,
2148091924,0x80094814,
